,X.,session_start_timeStamp,focal_start_timeStamp,timeStamp,scanned_individual_ID,ACTIVITY,HEIGHT,VOCAL,FOOD_ITEM,PARTNER_ID,lat0,lon0,species,source
,,,,12/7/17,,SleepTree,,,,,-12.55460601,-70.09871797,LWED,
,,,,13/07/2017,,SleepTree,,,,,-12.56075104,-70.09191304,SIMP,
,,,,13/06/2017,,SleepTree,,,,,-12.56704501,-70.101154,IC4,
,,,,15/07/2017,,SleepTree,,,,,-12.557206,-70.09778598,LWED,
,,,,16/07/2017,,SleepTree,,,,,-12.567044,-70.09504099,SIMP,
,,,,17/06/2017,,SleepTree,,,,,-12.56707401,-70.10101503,IC4,
,,,,18/07/2017,,SleepTree,,,,,-12.56011804,-70.10002999,LWED,
,,,,18/06/2017,,SleepTree,,,,,-12.56591798,-70.10051697,IC4,
,,,,19/06/2017,,SleepTree,,,,,-12.56755002,-70.10017801,IC4,
,,,,20/07/2017,,SleepTree,,,,,-12.56157598,-70.09679901,LWED,
,,,,20/06/2017,,SleepTree,,,,,-12.56598604,-70.10064497,IC4,
,,,,21/07/2017,,SleepTree,,,,,-12.56581698,-70.09583803,SIMP,
,,,,22/06/2017,,SleepTree,,,,,-12.56222902,-70.10232001,LWED,
,,,,23/07/2017,,SleepTree,,,,,-12.56524298,-70.09617196,SIMP,
,,,,23/06/2017,,SleepTree,,,,,-12.564441,-70.09678099,SIMP,
,,,,24/07/2017,,SleepTree,,,,,-12.55988896,-70.100348,LWED,
,,,,25/06/2017,,SleepTree,,,,,-12.563937,-70.09319404,LWED,
,,,,26/06/2017,,SleepTree,,,,,-12.55896603,-70.09800802,LWED,
,,,,28/06/2017,,SleepTree,,,,,-12.56540895,-70.09826484,SIMP,
,,,,29/06/2017,,SleepTree,,,,,-12.56043504,-70.09972899,LWED,
,,,,30/06/2017,,SleepTree,,,,,-12.55560799,-70.09819804,LWED,
,,,,30/06/2017,,SleepTree,,,,,-12.56198301,-70.09177197,SIMP,
,,,,28/06/2017,,SleepTree,,,,,-12.56430698,-70.101945,LWED,
,,,,25/06/2017,,SleepTree,,,,,-12.565965,-70.100105,LWED,
,,,,13/06/2017,,SleepTree,,,,,-12.56704501,-70.101154,IC4,
,,,,22/06/2017,,SleepTree,,,,,-12.56634001,-70.10196302,IC4,
,,,,24/06/2017,,SleepTree,,,,,-12.56259003,-70.09229802,LWED,
,,,,10/6/17,,SleepTree,,,,,-12.567245,-70.10084496,LWED,
,,,,26/06/2017,,SleepTree,,,,,-12.554704,-70.09349998,LWED,
,,,,28/06/2017,,SleepTree,,,,,-12.559651,-70.10625699,SIMP,
,,,,25/06/2017,,SleepTree,,,,,-12.565245,-70.09790903,SIMP,
,,,,24/06/2017,,SleepTree,,,,,-12.56948599,-70.09831899,LWED,
